elo_decile,count,mean_elo,median_elo,std_elo,min_elo,max_elo,q25_elo,q75_elo
1,1055423,1008.4125767583234,1035.0,103.58574007058058,-1494.0,1119.0,963.0,1082.0
2,1047096,1181.3171628962386,1184.0,32.89090569232668,1120.0,1233.0,1154.0,1210.0
3,1043736,1280.12385603256,1281.0,26.314855745271785,1234.0,1323.0,1257.0,1304.0
4,1054990,1366.3822661826177,1366.0,24.878366404559248,1324.0,1407.0,1345.0,1389.0
5,1044666,1446.2999733886238,1445.0,23.814528272062343,1408.0,1489.0,1426.0,1467.0
6,1043627,1533.0295459967977,1532.0,26.120458615621807,1490.0,1581.0,1510.0,1555.0
7,1928622,1599.222177803634,1600.0,3.024466444489501,1582.0,1600.0,1600.0,1600.0
8,171480,1608.503784697924,1609.0,4.540712189770744,1601.0,1616.0,1605.0,1612.0
9,1042417,1693.6372449796963,1691.0,49.315575149220585,1617.0,1792.0,1651.0,1733.0
10,1046491,2058.185657592851,1984.0,251.77550439298912,1793.0,5281.0,1868.0,2170.0
